Order ID,Order Date,CustomerName,State,City
B-25815,10-10-2025,Harsh,Nagaland,Kohima
B-25822,18-10-2025,Tejas,Karnataka,Bangalore
B-26075,21-03-2025,Pearl,Maharashtra,Pune
B-25783,15-09-2025,Shivangi,Madhya Pradesh,Indore
B-26046,04-03-2025,Nishi,Maharashtra,Mumbai
B-25690,15-06-2025,Gunjan,Madhya Pradesh,Indore
B-25706,01-07-2025,Swetlana,Goa,Goa
B-25736,31-07-2025,Akshat,Maharashtra,Mumbai
B-25720,15-07-2025,Namrata,Punjab,Chandigarh
B-25907,11-12-2025,Jaydeep,Madhya Pradesh,Bhopal
B-25719,12-07-2025,Rashmi,Madhya Pradesh,Indore
B-26013,13-02-2025,Jahan,Madhya Pradesh,Bhopal
B-26044,02-03-2025,Sanjay,Goa,Goa
B-25649,05-05-2025,Rachna,Haryana,Chandigarh
B-25658,14-05-2025,Shefali,Rajasthan,Jaipur
B-25672,28-05-2025,Akanksha,Andhra Pradesh,Hyderabad
B-25624,22-04-2025,Vini,Karnataka,Bangalore
B-25884,28-11-2025,Sumeet,Maharashtra,Mumbai
B-25641,27-04-2025,Parishi,West Bengal,Kolkata
B-25841,01-11-2025,Ashvini,Maharashtra,Mumbai
B-25980,27-01-2025,Shweta,Rajasthan,Udaipur
B-26012,13-02-2025,Pearl,Maharashtra,Pune
B-26029,20-02-2025,Ramesh,Gujarat,Ahmedabad
B-26071,19-03-2025,Subhashree,Jammu and Kashmir,Kashmir
B-25646,01-05-2025,Sonal,Bihar,Patna
B-25677,02-06-2025,Ekta,West Bengal,Kolkata
B-25759,23-08-2025,Soumya,Sikkim,Gangtok
B-26059,12-03-2025,Rachna,Haryana,Chandigarh
B-25632,25-04-2025,Manish,Himachal Pradesh,Simla
B-26079,22-03-2025,Hazel,Karnataka,Bangalore
B-25674,28-05-2025,Mahima,Maharashtra,Pune
B-25965,21-01-2025,Saloni,West Bengal,Kolkata
B-25732,27-07-2025,Anubhaw,Karnataka,Bangalore
B-25834,29-10-2025,Ananya,Andhra Pradesh,Hyderabad
B-25784,15-09-2025,Rohit,Rajasthan,Jaipur
B-25982,29-01-2025,Hemangi,Delhi,Delhi
B-25788,21-09-2025,Dinesh,Tamil Nadu,Chennai
B-25742,03-08-2025,Ashwin,Goa,Goa
B-26088,26-03-2025,Bhavna,Sikkim,Gangtok
B-25707,01-07-2025,Shivani,Maharashtra,Mumbai
B-25758,22-08-2025,Shubham,Himachal Pradesh,Simla
B-26095,28-03-2025,Monisha,Rajasthan,Jaipur
